dbn,school_name,school_type,enrollment,survey_pp_ri,survey_pp_ct,survey_pp_se,survey_pp_es,survey_pp_sf,survey_pp_tr,qr_1_1,qr_1_2,qr_2_2,qr_3_4,qr_4_2,qr_1_4,qr_1_3,qr_3_1,qr_4_1,qr_5_1,dates_of_review,rating_ela_grade_8_pct_rs,rating_mth_grade_8_pct_rs,gender_female_pct,gender_male_pct,ell,iep,cap_sc_pct,borough,year,total_enrollment,grade_3k,grade_pk_half_day_full_day,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,female,female_1,male,male_1,asian,asian_1,black,black_1,hispanic,hispanic_1,multi_racial,multi_racial_1,native_american,native_american_1,white,white_1,missing_race_ethnicity_data,missing_race_ethnicity_data_1,students_with_disabilities,students_with_disabilities_1,english_language_learners,english_language_learners_1,poverty,poverty_1,economic_need_index
01M292,Orchard Collegiate Academy,High School,226,0.74,0.8,0.71,0.88,0.86,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,2017-04-01T00:00:00.000,2.78,2.36,0.447,0.553,0.08,0.288,0.004,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01M448,University Neighborhood High School,High School,492,0.85,0.91,0.87,0.92,0.92,0.93,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,2019-05-01T00:00:00.000,2.97,3.02,0.474,0.526,0.136,0.161,0.002,Manhattan,2018-19,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,139.0,120.0,93.0,230.0,0.476,253.0,0.524,178.0,0.369,94.0,0.195,184.0,0.381,2.0,0.004,2.0,0.004,22.0,0.046,1.0,0.002,82.0,0.17,71.0,0.147,421.0,0.872,0.828
01M450,East Side Community School,High School,364,,,,1.0,0.97,1.0,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,2019-12-01T00:00:00.000,3.03,2.96,0.505,0.495,0.011,0.245,0.0,Manhattan,2019-20,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,105.0,107.0,105.0,91.0,79.0,89.0,324.0,0.476,356.0,0.524,66.0,0.097,104.0,0.153,373.0,0.549,9.0,0.013,4.0,0.006,124.0,0.182,0.0,0.0,183.0,0.269,10.0,0.015,446.0,0.6559999999999999,0.653
01M509,Marta Valle High School,High School,97,0.8,0.93,0.81,0.89,0.98,0.99,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,2016-12-01T00:00:00.000,2.82,2.2,0.567,0.433,0.082,0.258,0.021,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01M539,"New Explorations into Science, Technology and Math",High School,654,0.8,0.79,0.74,0.82,0.92,0.87,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,2017-04-01T00:00:00.000,3.67,3.89,0.502,0.498,0.003,0.145,0.002,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01M696,Bard High School Early College,High School,613,0.86,0.87,0.81,0.92,0.87,0.92,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Developing,Proficient,2018-11-01T00:00:00.000,3.85,4.09,0.571,0.429,0.0,0.106,0.0,Manhattan,2018-19,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,169.0,128.0,145.0,379.0,0.616,236.0,0.384,178.0,0.289,66.0,0.107,108.0,0.176,15.0,0.024,0.0,0.0,248.0,0.403,0.0,0.0,47.0,0.076,1.0,0.002,258.0,0.42,0.406
02M047,47 The American Sign Language and English Secondar,High School,232,0.65,0.59,0.66,0.64,0.83,0.75,Well Developed,Proficient,Proficient,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2015-02-12T00:00:00.000,2.9,2.67,0.711,0.289,0.047,0.246,0.004,Manhattan,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M135,The Urban Assembly School for Emergency Management,High School,256,0.77,0.8,0.65,0.71,0.87,0.75,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2016-10-01T00:00:00.000,2.86,2.48,0.52,0.48,0.043,0.215,0.004,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,416,0.68,0.75,0.69,0.77,0.88,0.84,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2018-11-01T00:00:00.000,2.71,2.57,0.373,0.627,0.053,0.26,0.0,Manhattan,2018-19,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,114.0,92.0,78.0,146.0,0.364,255.0,0.636,17.0,0.042,106.0,0.264,253.0,0.631,1.0,0.002,5.0,0.012,17.0,0.042,2.0,0.005,103.0,0.257,29.0,0.072,326.0,0.813,0.83
02M260,The Clinton School,High School,486,,,,0.83,0.83,0.87,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,2018-12-01T00:00:00.000,3.69,3.62,0.673,0.327,0.0,0.183,0.002,Manhattan,2018-19,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,99.0,121.0,128.0,105.0,79.0,494.0,0.68,232.0,0.32,92.0,0.127,29.0,0.04,90.0,0.124,27.0,0.037,5.0,0.007,462.0,0.636,21.0,0.029,120.0,0.165,2.0,0.003,125.0,0.172,0.21
